pNorm	miniHashCount	macroTableCount	targetDistSq	avg valid count	avg missed samples	avg wasted samples
0.001	10	3	5	49.816	0.313	640.184
0.001	10	7	5	50.193	0.001	1055.34
0.001	20	3	5	46.931	6.453	70.84
0.001	20	7	5	47.491	0.298	220.751
0.001	30	3	5	47.67	5.976	51.377
0.001	30	7	5	49.144	3.336	70.917
0.001	40	3	5	49.312	14.25	15.347
0.001	40	7	5	47.717	2.456	39.601
0.001	50	3	5	47.261	13.137	21.447
0.001	50	7	5	52.863	4.674	35.161
0.002	10	3	5	45.444	0.359	502.241
0.002	10	7	5	45.208	0	1145.69
0.002	20	3	5	46.316	2.447	117.523
0.002	20	7	5	45.676	0.043	280.44
0.002	30	3	5	46.377	11.617	23.253
0.002	30	7	5	47.608	0.465	129.096
0.002	40	3	5	48.125	17.054	19.253
0.002	40	7	5	50.125	5.475	29.542
0.002	50	3	5	46.446	14.276	8.387
0.002	50	7	5	47.433	6.411	25.346
0.004	10	3	5	45.366	0.116	543.561
0.004	10	7	5	46.939	0.032	984.602
0.004	20	3	5	45.247	0.767	220.481
0.004	20	7	5	52.532	0.1	198.013
0.004	30	3	5	48.224	7.647	37.978
0.004	30	7	5	51.821	0.612	114.911
0.004	40	3	5	45.772	16.386	13.531
0.004	40	7	5	48.3	2.879	52.538
0.004	50	3	5	46.576	17.911	10.406
0.004	50	7	5	51.647	5.461	32.972
0.008	10	3	5	51.063	0.684	494.278
0.008	10	7	5	48.929	0	1140.27
0.008	20	3	5	49.873	4.882	101.335
0.008	20	7	5	43.723	0.038	239.161
0.008	30	3	5	51.772	6.956	73.842
0.008	30	7	5	46.42	2.302	61.81
0.008	40	3	5	41.902	14.455	12.428
0.008	40	7	5	49.439	4.373	47.988
0.008	50	3	5	46.94	15.861	13.373
0.008	50	7	5	43.376	5.193	33.424
0.016	10	3	5	52.363	0.184	850.549
0.016	10	7	5	46.599	0	1000.87
0.016	20	3	5	44.938	3.537	137.437
0.016	20	7	5	49.46	0.205	205.264
0.016	30	3	5	44.255	3.908	64.592
0.016	30	7	5	42.953	0.341	110.37
0.016	40	3	5	47.907	8.593	34.451
0.016	40	7	5	47.091	4.671	40.058
0.016	50	3	5	44.298	11.784	16.127
0.016	50	7	5	52.645	5.085	41.263
0.032	10	3	5	50.134	0.269	671.543
0.032	10	7	5	50.766	0	959.48
0.032	20	3	5	49.168	3.903	97.529
0.032	20	7	5	50.757	0.158	196.371
0.032	30	3	5	48.366	3.874	88.383
0.032	30	7	5	56.393	1.046	93.485
0.032	40	3	5	47.213	11.252	26.332
0.032	40	7	5	44.439	2.763	51.972
0.032	50	3	5	49.927	19.333	16.297
0.032	50	7	5	53.548	9.759	19.423
0.064	10	3	5	49.485	0.234	666.366
0.064	10	7	5	45.066	0	1109.8
0.064	20	3	5	52.355	7.045	139.244
0.064	20	7	5	48.663	0.251	171.425
0.064	30	3	5	47.216	8.252	38.633
0.064	30	7	5	50.972	1.528	93.434
0.064	40	3	5	47.788	11.043	20.434
0.064	40	7	5	51.012	3.172	67.399
0.064	50	3	5	51.161	20.263	9.323
0.064	50	7	5	46.656	6.254	27.279
0.128	10	3	5	49.052	0.831	531.545
0.128	10	7	5	49.365	0	1002.02
0.128	20	3	5	50.43	4.06	99.031
0.128	20	7	5	51.21	0.041	272.488
0.128	30	3	5	45.944	7.059	45.776
0.128	30	7	5	48.973	2.012	76.221
0.128	40	3	5	53.339	9.32	38.959
0.128	40	7	5	45.56	3.067	54.08
0.128	50	3	5	47.358	16.201	10.038
0.128	50	7	5	44.683	5.469	23.528
0.256	10	3	5	48.095	2.858	139.157
0.256	10	7	5	50.458	0.018	376.032
0.256	20	3	5	47.93	8.426	33.865
0.256	20	7	5	47.671	2.606	57.772
0.256	30	3	5	50.851	9.882	29.995
0.256	30	7	5	45.476	4.344	35.725
0.256	40	3	5	44.672	24.35	2.269
0.256	40	7	5	49.92	14.727	10.054
0.256	50	3	5	47.703	26.86	2.429
0.256	50	7	5	45.219	13.406	6.101
0.001	10	3	5	74.276	1.026	333.669
0.001	10	7	5	62.152	0.004	620.436
0.001	20	3	5	71.246	5.583	70.004
0.001	20	7	5	72.666	0.615	104.458
0.001	30	3	5	76.144	19.331	16.603
0.001	30	7	5	81.312	7.926	35.548
0.001	40	3	5	70.982	31.152	8.065
0.001	40	7	5	78.634	13.769	25.814
0.001	50	3	5	70.428	34.287	2.882
0.001	50	7	5	69.998	17.094	7.972
0.002	10	3	5	73.291	0.979	320.906
0.002	10	7	5	75.513	0.105	743.863
0.002	20	3	5	69.771	10.753	53.423
0.002	20	7	5	75.995	0.992	87.615
0.002	30	3	5	76.476	19.571	19.018
0.002	30	7	5	74.604	5.07	42.329
0.002	40	3	5	67.131	33.018	4.99
0.002	40	7	5	78.742	16.623	13.353
0.002	50	3	5	75.698	14.997	7.975
0.002	50	7	5	77.291	24.162	8.45
0.004	10	3	5	74.459	0.694	396.296
0.004	10	7	5	77.204	0.006	625.548
0.004	20	3	5	82.395	3.037	67.069
0.004	20	7	5	66.514	1.205	94.347
0.004	30	3	5	69.635	27.913	15.179
0.004	30	7	5	76.043	9.139	34.191
0.004	40	3	5	77.588	23.431	13.498
0.004	40	7	5	68.058	8.594	22.429
0.004	50	3	5	78.079	45.646	3.835
0.004	50	7	5	76.949	22.388	13.031
0.008	10	3	5	78.239	0.939	373.039
0.008	10	7	5	76.379	0.002	746.009
0.008	20	3	5	85.207	6.412	43.871
0.008	20	7	5	72.583	0.413	81.579
0.008	30	3	5	77.752	15.479	20.651
0.008	30	7	5	69.22	4.153	43.004
0.008	40	3	5	71.997	29.386	10.632
0.008	40	7	5	78.225	15.102	16.63
0.008	50	3	5	64.753	20.579	7.537
